age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,education_compact,education_compact_num,us,married
31,Private,9th,5,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,43,United_States,<=50K,No degree,0,1,1
53,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,<=50K,Bachelor's,3,1,1
24,Private,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,50,United_States,<=50K,Bachelor's,3,1,1
49,Private,HS_grad,9,Separated,Adm_clerical,Unmarried,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
25,Private,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,White,Male,0,0,35,United_States,<=50K,High school or GED,1,1,0
57,Federal_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,Black,Male,0,0,40,United_States,>50K,Bachelor's,3,1,1
53,Private,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,38,United_States,<=50K,High school or GED,1,1,1
44,Private,Masters,14,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,United_States,<=50K,Master's,4,1,0
41,State_gov,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,<=50K,Associate's,2,1,1
29,Private,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Male,0,0,43,United_States,<=50K,Associate's,2,1,0
25,Private,Some_college,10,Married_civ_spouse,Exec_managerial,Wife,Other,Female,0,0,40,United_States,<=50K,High school or GED,1,1,1
18,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Female,0,0,30,Unknown,<=50K,High school or GED,1,0,0
47,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,1902,60,Honduras,>50K,Professional school,5,0,1
50,Federal_gov,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Male,0,0,55,United_States,>50K,Bachelor's,3,1,0
47,Self_emp_inc,HS_grad,9,Divorced,Exec_managerial,Not_in_family,White,Male,0,0,60,United_States,<=50K,High school or GED,1,1,0
43,Private,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,40,United_States,>50K,High school or GED,1,1,1
46,Private,5th_6th,3,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,Mexico,<=50K,No degree,0,0,1
35,Private,Assoc_voc,11,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,Puerto_Rico,<=50K,Associate's,2,0,1
41,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,48,United_States,<=50K,High school or GED,1,1,1
30,Private,HS_grad,9,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,5013,0,40,United_States,<=50K,High school or GED,1,1,1
30,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,2407,0,40,United_States,<=50K,Bachelor's,3,1,1
32,Unknown,7th_8th,4,Married_spouse_absent,Unknown,Not_in_family,White,Male,0,0,40,Unknown,<=50K,No degree,0,0,0
48,Private,HS_grad,9,Married_civ_spouse,Transport_moving,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
42,Private,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,45,United_States,>50K,Doctorate,6,1,1
29,Private,Some_college,10,Divorced,Tech_support,Not_in_family,White,Male,0,0,58,United_States,<=50K,High school or GED,1,1,0
36,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
28,Private,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
53,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Wife,White,Female,0,0,40,United_States,>50K,High school or GED,1,1,1
49,Self_emp_inc,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,>50K,High school or GED,1,1,1
25,Unknown,Some_college,10,Never_married,Unknown,Own_child,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
19,Private,Some_college,10,Never_married,Prof_specialty,Own_child,White,Male,0,0,32,United_States,<=50K,High school or GED,1,1,0
31,Private,Bachelors,13,Separated,Sales,Own_child,Black,Female,0,0,40,United_States,<=50K,Bachelor's,3,1,0
29,Self_emp_not_inc,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,70,United_States,>50K,Bachelor's,3,1,1
23,Private,Some_college,10,Never_married,Machine_op_inspct,Not_in_family,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
79,Private,Some_college,10,Married_civ_spouse,Prof_specialty,Other_relative,White,Male,0,0,20,United_States,<=50K,High school or GED,1,1,0
27,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Male,0,0,40,Mexico,<=50K,High school or GED,1,0,0
40,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,40,United_States,<=50K,Associate's,2,1,1
67,Unknown,10th,6,Married_civ_spouse,Unknown,Husband,White,Male,0,0,2,United_States,<=50K,No degree,0,1,1
18,Private,11th,7,Never_married,Other_service,Own_child,White,Female,0,0,22,United_States,<=50K,No degree,0,1,0
31,Local_gov,7th_8th,4,Married_civ_spouse,Farming_fishing,Husband,White,Male,0,0,40,United_States,<=50K,No degree,0,1,1
18,Private,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,0,0,30,United_States,<=50K,High school or GED,1,1,0
52,Private,Bachelors,13,Married_civ_spouse,Other_service,Husband,White,Male,0,0,40,Cuba,<=50K,Bachelor's,3,0,1
46,Private,HS_grad,9,Married_civ_spouse,Other_service,Wife,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,1
59,Private,HS_grad,9,Married_civ_spouse,Sales,Husband,White,Male,0,0,48,United_States,<=50K,High school or GED,1,1,1
44,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Female,14344,0,40,United_States,>50K,High school or GED,1,1,0
53,Private,HS_grad,9,Divorced,Sales,Own_child,White,Female,0,0,35,United_States,<=50K,High school or GED,1,1,0
49,Local_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,>50K,High school or GED,1,1,1
33,Private,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,50,United_States,<=50K,Master's,4,1,1
30,Private,9th,5,Never_married,Sales,Not_in_family,White,Male,0,0,40,United_States,<=50K,No degree,0,1,0
43,Federal_gov,Doctorate,16,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,>50K,Doctorate,6,1,0
57,Private,Assoc_voc,11,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,<=50K,Associate's,2,1,1
37,Private,Some_college,10,Divorced,Craft_repair,Unmarried,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
28,Private,Some_college,10,Divorced,Machine_op_inspct,Unmarried,Black,Female,0,0,25,United_States,<=50K,High school or GED,1,1,0
30,Private,HS_grad,9,Married_civ_spouse,Sales,Wife,Asian_Pac_Islander,Female,0,1573,35,Unknown,<=50K,High school or GED,1,0,1
34,Local_gov,Bachelors,13,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,>50K,Bachelor's,3,1,1
29,Local_gov,Some_college,10,Never_married,Handlers_cleaners,Not_in_family,White,Male,0,0,50,United_States,<=50K,High school or GED,1,1,0
48,Self_emp_not_inc,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,1902,60,United_States,>50K,Doctorate,6,1,1
37,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,48,United_States,>50K,High school or GED,1,1,1
48,Private,Assoc_acdm,12,Divorced,Exec_managerial,Unmarried,White,Female,0,0,40,England,<=50K,Associate's,2,0,0
32,Federal_gov,HS_grad,9,Never_married,Other_service,Own_child,Black,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
76,Private,Masters,14,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,40,United_States,>50K,Master's,4,1,1
44,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,15024,0,60,United_States,>50K,Bachelor's,3,1,1
47,Self_emp_not_inc,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,0,0,50,United_States,<=50K,Master's,4,1,0
20,Private,Some_college,10,Never_married,Tech_support,Own_child,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
29,Private,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
32,Self_emp_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,7688,0,40,United_States,>50K,High school or GED,1,1,1
17,Unknown,10th,6,Never_married,Unknown,Own_child,White,Female,34095,0,32,United_States,<=50K,No degree,0,1,0
30,Private,11th,7,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,40,United_States,<=50K,No degree,0,1,0
31,Local_gov,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
42,Private,HS_grad,9,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
24,Private,Bachelors,13,Never_married,Sales,Other_relative,White,Male,0,0,40,United_States,<=50K,Bachelor's,3,1,0
38,Private,Prof_school,15,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,>50K,Professional school,5,1,1
56,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Other_service,Husband,White,Male,0,1887,50,Canada,>50K,High school or GED,1,0,1
28,Private,Some_college,10,Married_civ_spouse,Sales,Wife,White,Female,4064,0,25,United_States,<=50K,High school or GED,1,1,1
36,Private,HS_grad,9,Never_married,Machine_op_inspct,Own_child,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
53,Private,9th,5,Married_civ_spouse,Handlers_cleaners,Husband,White,Male,0,0,50,United_States,<=50K,No degree,0,1,1
56,Self_emp_inc,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,<=50K,High school or GED,1,1,1
49,Local_gov,Assoc_voc,11,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,40,United_States,>50K,Associate's,2,1,1
55,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,0,56,United_States,<=50K,High school or GED,1,1,1
22,Private,HS_grad,9,Never_married,Craft_repair,Not_in_family,White,Male,0,0,41,United_States,<=50K,High school or GED,1,1,0
21,Private,Some_college,10,Never_married,Other_service,Own_child,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
40,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,60,United_States,<=50K,Bachelor's,3,1,1
30,Private,Bachelors,13,Never_married,Exec_managerial,Own_child,Black,Male,0,0,40,Germany,<=50K,Bachelor's,3,0,0
29,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,50,United_States,>50K,Bachelor's,3,1,1
19,Private,Some_college,10,Never_married,Other_service,Own_child,Black,Male,0,0,35,United_States,<=50K,High school or GED,1,1,0
47,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Wife,White,Female,0,0,40,United_States,>50K,Bachelor's,3,1,1
20,Private,Some_college,10,Never_married,Adm_clerical,Own_child,White,Female,0,1719,28,United_States,<=50K,High school or GED,1,1,0
31,Private,Assoc_acdm,12,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,40,United_States,>50K,Associate's,2,1,1
35,Unknown,HS_grad,9,Married_civ_spouse,Unknown,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
39,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
28,Private,Assoc_acdm,12,Never_married,Sales,Not_in_family,White,Female,0,0,60,United_States,<=50K,Associate's,2,1,0
24,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Female,0,1762,40,United_States,<=50K,High school or GED,1,1,0
38,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,4386,0,35,United_States,<=50K,High school or GED,1,1,1
37,Private,Bachelors,13,Married_civ_spouse,Sales,Husband,White,Male,0,0,50,United_States,<=50K,Bachelor's,3,1,1
46,Private,Assoc_acdm,12,Divorced,Tech_support,Not_in_family,Black,Female,0,0,36,United_States,<=50K,Associate's,2,1,0
38,Federal_gov,Masters,14,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,Iran,>50K,Master's,4,0,1
43,Self_emp_not_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,60,United_States,<=50K,High school or GED,1,1,1
27,Private,Assoc_voc,11,Married_civ_spouse,Adm_clerical,Wife,White,Female,0,0,35,United_States,<=50K,Associate's,2,1,1
20,Private,Some_college,10,Never_married,Sales,Own_child,White,Male,0,0,20,United_States,<=50K,High school or GED,1,1,0
49,Private,Some_college,10,Married_civ_spouse,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,>50K,High school or GED,1,1,1
61,Self_emp_inc,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
27,Private,Some_college,10,Never_married,Sales,Own_child,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
19,Private,Some_college,10,Never_married,Other_service,Own_child,White,Male,0,0,30,Mexico,<=50K,High school or GED,1,0,0
45,Private,Assoc_voc,11,Never_married,Prof_specialty,Not_in_family,White,Female,0,1564,40,United_States,>50K,Associate's,2,1,0
70,Private,Some_college,10,Never_married,Tech_support,Other_relative,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
31,Private,HS_grad,9,Never_married,Transport_moving,Unmarried,Black,Female,0,0,30,United_States,<=50K,High school or GED,1,1,0
22,Private,Some_college,10,Married_civ_spouse,Other_service,Husband,White,Male,0,0,24,United_States,<=50K,High school or GED,1,1,1
36,Private,HS_grad,9,Widowed,Other_service,Unmarried,White,Female,0,0,24,United_States,<=50K,High school or GED,1,1,0
64,Private,11th,7,Married_civ_spouse,Craft_repair,Husband,White,Male,0,2179,40,United_States,<=50K,No degree,0,1,1
43,Unknown,Some_college,10,Divorced,Unknown,Not_in_family,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
47,Local_gov,Some_college,10,Divorced,Adm_clerical,Unmarried,White,Female,0,0,38,Mexico,<=50K,High school or GED,1,0,0
34,Private,HS_grad,9,Never_married,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
33,Private,Bachelors,13,Never_married,Exec_managerial,Other_relative,Asian_Pac_Islander,Female,0,0,40,Philippines,<=50K,Bachelor's,3,0,0
21,Private,HS_grad,9,Never_married,Craft_repair,Own_child,White,Male,0,0,35,United_States,<=50K,High school or GED,1,1,0
52,Unknown,HS_grad,9,Divorced,Unknown,Not_in_family,White,Male,0,0,45,United_States,>50K,High school or GED,1,1,0
48,Private,HS_grad,9,Married_civ_spouse,Craft_repair,Husband,White,Male,0,0,46,United_States,<=50K,High school or GED,1,1,1
23,Private,Bachelors,13,Never_married,Handlers_cleaners,Not_in_family,White,Male,0,0,40,United_States,<=50K,Bachelor's,3,1,0
71,Self_emp_not_inc,Some_college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United_States,<=50K,High school or GED,1,1,0
29,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,0,0,60,United_States,<=50K,High school or GED,1,1,0
42,Private,Bachelors,13,Separated,Other_service,Other_relative,Black,Male,0,0,50,United_States,<=50K,Bachelor's,3,1,0
68,Unknown,1st_4th,2,Divorced,Unknown,Not_in_family,White,Female,0,0,20,United_States,<=50K,No degree,0,1,0
25,Private,HS_grad,9,Never_married,Other_service,Unmarried,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
44,Self_emp_inc,Masters,14,Divorced,Exec_managerial,Unmarried,Asian_Pac_Islander,Female,0,0,40,United_States,<=50K,Master's,4,1,0
28,Private,HS_grad,9,Never_married,Exec_managerial,Not_in_family,Asian_Pac_Islander,Female,0,0,40,England,<=50K,High school or GED,1,0,0
45,Self_emp_not_inc,Masters,14,Married_civ_spouse,Sales,Husband,White,Male,0,0,40,United_States,>50K,Master's,4,1,1
36,Private,Some_college,10,Divorced,Other_service,Unmarried,White,Female,0,0,40,Mexico,<=50K,High school or GED,1,0,0
39,Federal_gov,Assoc_acdm,12,Never_married,Exec_managerial,Not_in_family,White,Male,0,0,42,United_States,<=50K,Associate's,2,1,0
46,State_gov,Masters,14,Widowed,Protective_serv,Unmarried,White,Male,0,0,40,United_States,<=50K,Master's,4,1,0
18,Private,11th,7,Never_married,Handlers_cleaners,Own_child,White,Male,0,0,16,United_States,<=50K,No degree,0,1,0
66,Local_gov,Assoc_voc,11,Widowed,Prof_specialty,Not_in_family,White,Female,0,0,20,United_States,<=50K,Associate's,2,1,0
27,Private,HS_grad,9,Never_married,Other_service,Not_in_family,White,Male,0,1980,40,United_States,<=50K,High school or GED,1,1,0
28,State_gov,HS_grad,9,Married_civ_spouse,Protective_serv,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
51,Private,Some_college,10,Married_civ_spouse,Sales,Husband,White,Male,0,1977,40,United_States,>50K,High school or GED,1,1,1
27,Private,Bachelors,13,Never_married,Craft_repair,Not_in_family,White,Male,0,0,50,United_States,<=50K,Bachelor's,3,1,0
28,State_gov,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,40,United_States,>50K,Bachelor's,3,1,1
27,Private,HS_grad,9,Married_spouse_absent,Sales,Unmarried,White,Female,0,0,25,United_States,<=50K,High school or GED,1,1,0
21,Private,HS_grad,9,Never_married,Craft_repair,Own_child,Black,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
34,Private,HS_grad,9,Never_married,Handlers_cleaners,Not_in_family,Black,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
18,Private,HS_grad,9,Never_married,Other_service,Own_child,White,Male,0,0,12,United_States,<=50K,High school or GED,1,1,0
33,Private,Bachelors,13,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,65,United_States,<=50K,Bachelor's,3,1,1
44,Local_gov,Some_college,10,Married_civ_spouse,Exec_managerial,Husband,Black,Male,0,0,38,United_States,>50K,High school or GED,1,1,1
43,Private,Some_college,10,Divorced,Adm_clerical,Not_in_family,White,Female,0,0,40,United_States,<=50K,High school or GED,1,1,0
30,Private,Some_college,10,Never_married,Craft_repair,Not_in_family,Black,Male,0,0,45,United_States,<=50K,High school or GED,1,1,0
40,Private,7th_8th,4,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,Mexico,>50K,No degree,0,0,1
37,Federal_gov,Some_college,10,Married_civ_spouse,Adm_clerical,Husband,White,Male,0,0,42,United_States,>50K,High school or GED,1,1,1
34,Private,HS_grad,9,Married_civ_spouse,Adm_clerical,Husband,Black,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
41,Self_emp_not_inc,Bachelors,13,Divorced,Exec_managerial,Not_in_family,White,Female,0,0,40,United_States,<=50K,Bachelor's,3,1,0
53,Unknown,Bachelors,13,Divorced,Unknown,Not_in_family,White,Female,0,0,50,United_States,<=50K,Bachelor's,3,1,0
31,Private,Masters,14,Married_civ_spouse,Prof_specialty,Wife,White,Female,0,0,50,United_States,<=50K,Master's,4,1,1
58,State_gov,Doctorate,16,Married_civ_spouse,Prof_specialty,Husband,White,Male,0,0,1,United_States,>50K,Doctorate,6,1,1
38,Private,Some_college,10,Divorced,Machine_op_inspct,Not_in_family,Black,Female,0,0,28,United_States,<=50K,High school or GED,1,1,0
24,Private,Some_college,10,Married_civ_spouse,Machine_op_inspct,Husband,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,1
41,Local_gov,Bachelors,13,Married_civ_spouse,Craft_repair,Husband,Black,Male,0,0,40,United_States,<=50K,Bachelor's,3,1,1
47,Private,Some_college,10,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,45,United_States,<=50K,High school or GED,1,1,1
41,Federal_gov,Bachelors,13,Married_civ_spouse,Tech_support,Husband,White,Male,0,0,24,United_States,<=50K,Bachelor's,3,1,1
23,Private,5th_6th,3,Married_civ_spouse,Transport_moving,Other_relative,White,Male,0,0,40,Mexico,<=50K,No degree,0,0,0
36,Private,Some_college,10,Divorced,Craft_repair,Not_in_family,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
40,Federal_gov,Masters,14,Never_married,Exec_managerial,Not_in_family,White,Female,14084,0,55,United_States,>50K,Master's,4,1,0
35,Private,Masters,14,Married_civ_spouse,Prof_specialty,Other_relative,White,Male,7298,0,40,United_States,>50K,Master's,4,1,0
24,Self_emp_not_inc,HS_grad,9,Never_married,Sales,Not_in_family,White,Male,0,0,40,United_States,<=50K,High school or GED,1,1,0
26,Private,Masters,14,Never_married,Prof_specialty,Not_in_family,White,Female,0,1876,40,United_States,<=50K,Master's,4,1,0
19,Unknown,HS_grad,9,Never_married,Unknown,Own_child,White,Male,0,0,40,Italy,<=50K,High school or GED,1,0,0
51,Private,Bachelors,13,Married_civ_spouse,Exec_managerial,Husband,White,Male,0,0,50,United_States,>50K,Bachelor's,3,1,1
42,Local_gov,Some_college,10,Never_married,Prof_specialty,Not_in_family,White,Female,0,1340,40,United_States,<=50K,High school or GED,1,1,0
37,State_gov,HS_grad,9,Divorced,Adm_clerical,Unmarried,White,Female,0,0,35,United_States,<=50K,High school or GED,1,1,0
18,Private,11th,7,Never_married,Sales,Own_child,White,Female,0,0,40,United_States,<=50K,No degree,0,1,0
36,Private,Bachelors,13,Married_civ_spouse,Other_service,Husband,Black,Male,7298,0,36,United_States,>50K,Bachelor's,3,1,1
35,Private,HS_grad,9,Divorced,Craft_repair,Not_in_family,White,Male,0,0,60,United_States,<=50K,High school or GED,1,1,0
58,Self_emp_inc,HS_grad,9,Married_civ_spouse,Sales,Wife,White,Female,15024,0,35,United_States,>50K,High school or GED,1,1,1
17,Private,11th,7,Never_married,Sales,Own_child,White,Female,0,0,12,United_States,<=50K,No degree,0,1,0
